#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
3J|A101|01|DPE|35.621737|-117.594352|751.4|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T00:53:09|2019-08-05T17:01:16
3J|A101|01|DPN|35.621737|-117.594352|751.4|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T00:53:09|2019-08-05T17:01:16
3J|A101|01|DPZ|35.621737|-117.594352|751.4|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T00:53:09|2019-08-05T17:01:16
3J|A102|01|DPE|35.621712|-117.593581|751.9|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:13:12|2019-08-04T13:28:24
3J|A102|01|DPN|35.621712|-117.593581|751.9|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:13:12|2019-08-04T13:28:24
3J|A102|01|DPZ|35.621712|-117.593581|751.9|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T01:13:12|2019-08-04T13:28:24
3J|A103|01|DPE|35.62154|-117.59258|752.8|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:23:36|2019-08-04T08:07:30
3J|A103|01|DPN|35.62154|-117.59258|752.8|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:23:36|2019-08-04T08:07:30
3J|A103|01|DPZ|35.62154|-117.59258|752.8|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T01:23:36|2019-08-04T08:07:30
3J|A104|01|DPE|35.621376|-117.591463|753.9|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:45:42|2019-08-05T14:38:55
3J|A104|01|DPN|35.621376|-117.591463|753.9|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:45:42|2019-08-05T14:38:55
3J|A104|01|DPZ|35.621376|-117.591463|753.9|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T01:45:42|2019-08-05T14:38:55
3J|A105|01|DPE|35.621194|-117.590389|755.2|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:51:09|2019-08-04T20:21:09
3J|A105|01|DPN|35.621194|-117.590389|755.2|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:51:09|2019-08-04T20:21:09
3J|A105|01|DPZ|35.621194|-117.590389|755.2|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T01:51:09|2019-08-04T20:21:09
3J|A106|01|DPE|35.621021|-117.589281|757.1|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:59:12|2019-08-04T11:32:19
3J|A106|01|DPN|35.621021|-117.589281|757.1|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T01:59:12|2019-08-04T11:32:19
3J|A106|01|DPZ|35.621021|-117.589281|757.1|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T01:59:12|2019-08-04T11:32:19
3J|A107|01|DPE|35.620655|-117.588234|759.5|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:08:00|2019-08-05T01:34:51
3J|A107|01|DPN|35.620655|-117.588234|759.5|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:08:00|2019-08-05T01:34:51
3J|A107|01|DPZ|35.620655|-117.588234|759.5|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T02:08:00|2019-08-05T01:34:51
3J|A108|01|DPE|35.620518|-117.587152|761.1|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:16:15|2019-08-04T10:26:12
3J|A108|01|DPN|35.620518|-117.587152|761.1|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:16:15|2019-08-04T10:26:12
3J|A108|01|DPZ|35.620518|-117.587152|761.1|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T02:16:15|2019-08-04T10:26:12
3J|A109|01|DPE|35.620294|-117.585998|763.3|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:26:03|2019-08-04T04:44:57
3J|A109|01|DPN|35.620294|-117.585998|763.3|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:26:03|2019-08-04T04:44:57
3J|A109|01|DPZ|35.620294|-117.585998|763.3|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T02:26:03|2019-08-04T04:44:57
3J|A110|01|DPE|35.620118|-117.584934|765.7|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:35:12|2019-08-04T02:44:23
3J|A110|01|DPN|35.620118|-117.584934|765.7|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:35:12|2019-08-04T02:44:23
3J|A110|01|DPZ|35.620118|-117.584934|765.7|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T02:35:12|2019-08-04T02:44:23
3J|A111|01|DPE|35.619936|-117.583842|767.9|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:49:15|2019-08-04T11:20:51
3J|A111|01|DPN|35.619936|-117.583842|767.9|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T02:49:15|2019-08-04T11:20:51
3J|A111|01|DPZ|35.619936|-117.583842|767.9|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T02:49:15|2019-08-04T11:20:51
3J|A112|01|DPE|35.619763|-117.582817|770.0|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T03:03:15|2019-08-04T11:59:57
3J|A112|01|DPN|35.619763|-117.582817|770.0|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T03:03:15|2019-08-04T11:59:57
3J|A112|01|DPZ|35.619763|-117.582817|770.0|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T03:03:15|2019-08-04T11:59:57
3J|A113|01|DPE|35.619574|-117.581665|771.5|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T03:11:09|2019-08-04T03:34:37
3J|A113|01|DPN|35.619574|-117.581665|771.5|1.0|0.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T03:11:09|2019-08-04T03:34:37
3J|A113|01|DPZ|35.619574|-117.581665|771.5|1.0|0.0|-90.0|DTCC|4901117.46505|50.0|M/S|2000.0|2019-07-07T03:11:09|2019-08-04T03:34:37
3J|A114|01|DPE|35.619381|-117.580656|773.2|1.0|90.0|0.0|DTCC|76579.9603913|50.0|M/S|2000.0|2019-07-07T03:23:36|2019-08-04T10:22:13
